48m
Enemy0 804m 31m
Enemy1 374m 16m
Enemy2 1030m 18m
Enemy3 4350m 20m
Enemy4 3232m 26m
Enemy5 4797m 48m
Enemy6 4281m 53m
Enemy7 728m 47m
Enemy8 4292m 33m
Enemy9 663m 34m
Enemy10 1185m 14m
Enemy11 3265m 38m
Enemy12 2257m 34m
Enemy13 4802m 3m
Enemy14 371m 8m
Enemy15 2404m 23m
Enemy16 4406m 6m
Enemy17 58m 14m
Enemy18 4599m 49m
Enemy19 3335m 14m
Enemy20 3279m 46m
Enemy21 4229m 26m
Enemy22 3300m 37m
Enemy23 388m 29m
Enemy24 1776m 18m
Enemy25 3645m 43m
Enemy26 4355m 22m
Enemy27 1451m 20m
Enemy28 48m 21m
Enemy29 390m 29m
Enemy30 1920m 17m
Enemy31 2194m 32m
Enemy32 1943m 49m
Enemy33 1512m 21m
Enemy34 3528m 12m
Enemy35 2032m 13m
Enemy36 1045m 47m
Enemy37 3883m 50m
Enemy38 4800m 4m
Enemy39 2520m 17m
Enemy40 1141m 1m
Enemy41 1280m 50m
Enemy42 2015m 1m
Enemy43 222m 22m
Enemy44 2157m 11m
Enemy45 525m 30m
Enemy46 3255m 14m
Enemy47 1859m 14m
Enemy48 4556m 38m
Enemy49 1525m 12m
